#LINK,,,,,,,
#lang,ja,,,,,,
#attribution_name,fukuishi,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,
#file_name,fukuishieki,,,,,,
#download_from,https://linkdata.org/work/rdf1s1705i,,,,,,
#property,駅名,えきめい_かな,所在地,路線,鉄道会社,緯度,経度
#object_type_xsd,string,string,string,string,string,float,float
#property_context,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion
1,福井駅,ふくい,福井市中央1丁目1-1,ハピラインふくい線,ハピラインふくい,36.062122,136.223318
2,越前花堂駅,えちぜんはなんどう,福井市花堂中1丁目1-12,ハピラインふくい線,ハピラインふくい,36.038758,136.217937
3,大土呂駅,おおどろ,福井市半田町17-6,ハピラインふくい線,ハピラインふくい,36.010586,136.21676
4,森田駅,もりた,福井市栄町10-46,ハピラインふくい線,ハピラインふくい,36.109369,136.222629
5,六条駅,ろくじょう,福井市天王町9杓子田1-2,越美北線（九頭竜線）,JR西日本,36.028117,136.239682
6,足羽駅,あすわ,福井市稲津町85-1,越美北線（九頭竜線）,JR西日本,36.020941,136.253273
7,越前東郷駅,えちぜんとうごう,福井市東郷二ケ町34-4,越美北線（九頭竜線）,JR西日本,36.018112,136.273996
8,一乗谷駅,いちじょうだに,福井市安波賀中島町11円田1-3,越美北線（九頭竜線）,JR西日本,36.01386,136.297486
9,越前高田駅,えちぜんたかだ,福井市高田町29上大道上1,越美北線（九頭竜線）,JR西日本,36.024842,136.318756
10,市波駅,いちなみ,福井市市波町12日々焼17-4,越美北線（九頭竜線）,JR西日本,36.019852,136.330462
11,小和清水駅,こわしょうず,福井市小和清水町10大割9-2,越美北線（九頭竜線）,JR西日本,36.017314,136.351085
12,美山駅,みやま,福井市境寺町2-20,越美北線（九頭竜線）,JR西日本,35.998611,136.365024
13,越前薬師駅,えちぜんやくし,福井市薬師町30比紋谷12-2,越美北線（九頭竜線）,JR西日本,36.005285,136.384328
14,越前大宮駅,えちぜんおおみや,福井市大宮町25中尻江2-2,越美北線（九頭竜線）,JR西日本,36.000002,136.410193
15,計石駅,はかりいし,福井市計石町25落合4-2,越美北線（九頭竜線）,JR西日本,35.997524,136.434553
16,三十八社駅,さんじゅうはっしゃ,福井市下江尻町,福武線,福井鉄道,35.98944,136.193883
17,泰澄の里駅,たいちょうのさと,福井市浅水町139,福武線,福井鉄道,35.999155,136.198298
18,浅水駅,あそうず,福井市浅水町,福武線,福井鉄道,36.00662,136.201514
19,ハーモニーホール駅,はーもにーほーる,福井市今市町37字板取16,福武線,福井鉄道,36.013754,136.205267
20,清明駅,せいめい,福井市今市町65,福武線,福井鉄道,36.022219,136.20936
21,江端駅,えばた,福井市江端町,福武線,福井鉄道,36.028117,136.212316
22,ベル前駅,べるまえ,福井市花堂南1丁目,福武線,福井鉄道,36.033724,136.213847
23,花堂駅,はなんどう,福井市花堂北1丁目,福武線,福井鉄道,36.040682,136.21503
24,赤十字前駅,せきじゅうじまえ,福井市みのり1丁目,福武線,福井鉄道,36.048516,136.216476
25,商工会議所前,しょうこうかいぎしょまえ,福井市西木田,福武線,福井鉄道,36.053336,136.214917
26,足羽山公園口,あすわやまこうえんぐち,福井市毛矢,福武線,福井鉄道,36.058016,136.215177
27,福井城址大名町,ふくいじょうしだいみょうまち,福井市大手3丁目,福武線,福井鉄道,36.06333,136.217589
28,仁愛女子高校,じんあいじょしこうこう,福井市春山1丁目,福武線,福井鉄道,36.069032,136.217962
29,田原町駅,たわらまち,福井市田原1丁目,福武線,福井鉄道,36.074875,136.21739
30,福井駅,ふくいえき,福井市中央1丁目,福武線,福井鉄道,36.062111,136.222191
31,福井駅,ふくい,福井市日之出1丁目801,勝山永平寺線,えちぜん鉄道,36.061687,136.223795
32,新福井駅,しんふくい,福井市日之出,勝山永平寺線,えちぜん鉄道,36.064707,136.226706
33,福井口駅,ふくいぐち,福井市宝永1丁目,勝山永平寺線,えちぜん鉄道,36.071383,136.233167
34,越前開発駅,えちぜんかいほつ,福井市開発町,勝山永平寺線,えちぜん鉄道,36.075623,136.241552
35,越前新保駅,えりぜんしんぼ,福井市新保,勝山永平寺線,えちぜん鉄道,36.080373,136.251318
36,追分口駅,おいわけぐち,福井市上中町,勝山永平寺線,えちぜん鉄道,36.08248,136.26151
37,東藤島駅,ひがしふじしま,福井市藤島町,勝山永平寺線,えちぜん鉄道,36.086683,136.269833
38,越前島橋駅,えちぜんしまばし,福井市中ノ郷町,勝山永平寺線,えちぜん鉄道,36.089969,136.277139
39,まつもと町屋駅,まつもとまちや,福井市町屋2丁目,三国芦原線,えちぜん鉄道,36.076966,136.228597
40,西別院駅,にしべついん,福井市松本3丁目,三国芦原線,えちぜん鉄道,36.075135,136.222712
41,田原町駅,たわらまち,福井市田原1丁目,三国芦原線,えちぜん鉄道,36.074875,136.21739
42,福大前西福井駅,ふくだいまえにしふくい,福井市文京4丁目,三国芦原線,えちぜん鉄道,36.074216,136.210336
43,日華化学前駅,にっかかがくまえ,福井市大宮4丁目,三国芦原線,えちぜん鉄道,36.080644,136.206554
44,八ッ島駅,やつしま,福井市二の宮5丁目,三国芦原線,えちぜん鉄道,36.086303,136.206015
45,新田塚駅,にったづか,福井市新田塚2丁目,三国芦原線,えちぜん鉄道,36.092468,136.205291
46,中角駅,なかつの,福井市中角町,三国芦原線,えちぜん鉄道,36.101263,136.204602
47,鷲塚針原駅,わしづかはりばら,福井市川合鷲塚町,三国芦原線,えちぜん鉄道,36.120615,136.204787
