#LINK,,,,
#lang,ja,,,
#attribution_name,fukuishi,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,fukuitetsudo,,,
#download_from,http://linkdata.org/work/rdf1s1200i,,,
#property,バス系統名,バス停名,緯度,経度
#object_type_xsd,string,string,float,float
#property_context,	Assertion,	Assertion,	Assertion,	Assertion
1,大島線（嶺南5）,本郷駅前,35.48232898,135.6193369
2,本郷線（嶺南4）,本郷駅前,35.48232898,135.6193369
3,福浦線（嶺北3）,福井駅前,36.06256926,136.2196456
4,鯖浦線（嶺北4）,西公園前,35.97303021,136.1629
5,福浦線（嶺北3）,西松本,36.07096895,136.2182406
6,福浦線（嶺北3）,裁判所前,36.06718408,136.2178649
7,福浦線（嶺北3）,大名町,36.06419518,136.2176413
8,池田線（嶺北5）,稲荷,35.88581659,136.3434219
9,池田線（嶺北5）,薮田,35.89489958,136.3483465
10,池田線（嶺北5）,薮田橋,35.89841215,136.3532201
11,池田線（嶺北5）,谷口,35.900894,136.3559786
12,福浦線（嶺北3）,毛矢町,36.05834704,136.2152391
13,福浦線（嶺北3）,木田四ツ辻,36.05338902,136.2149808
14,福浦線（嶺北3）,大町口,36.0359842,136.2136025
15,福浦線（嶺北3）,花堂,36.0412493,136.2144101
16,福浦線（嶺北3）,南福井,36.04379597,136.2151833
17,福浦線（嶺北3）,月見町,36.04563722,136.2152072
18,福浦線（嶺北3）,赤十字病院,36.04738647,136.2135281
19,福浦線（嶺北3）,みのり二丁目,36.0505388,136.2150788
20,福浦線（嶺北3）,気比庄,35.9779198,136.1397461
21,武生越前海岸線（安養寺経由）（嶺北9）,左右,35.98733732,135.9632882
22,武生越前海岸線（安養寺経由）（嶺北9）,呼鳥門,35.99166195,135.9654354
23,福井⇔名古屋,福井駅東口,36.06123452,136.2252737
24,福井⇔大阪,福井駅東口,36.06123452,136.2252737
25,福井⇔東京,福井駅東口,36.06123452,136.2252737
26,武生越前海岸線（安養寺経由）（嶺北9）,越前岬,35.99690785,135.9647405
27,武生越前海岸線（安養寺経由）（嶺北9）,水仙ランド入口,35.98520019,135.9610886
28,武生越前海岸線（安養寺経由）（嶺北9）,灯台下,35.97854956,135.9610684
29,武生越前海岸線（安養寺経由）（嶺北9）,玉川,35.96842368,135.9685177
30,武生越前海岸線（八田・織田経由）（嶺北8）,梅浦,35.95595458,135.9830242
31,武生越前海岸線（安養寺経由）（嶺北9）,梅浦,35.95595458,135.9830242
32,福浦線（嶺北3）,梅浦,35.95595458,135.9830242
33,鯖浦線（嶺北4）,梅浦,35.95595458,135.9830242
34,武生越前海岸線（八田・織田経由）（嶺北8）,上瀬,35.95737762,135.9855629
35,武生越前海岸線（安養寺経由）（嶺北9）,上瀬,35.95737762,135.9855629
36,福浦線（嶺北3）,上瀬,35.95737762,135.9855629
37,鯖浦線（嶺北4）,上瀬,35.95737762,135.9855629
38,武生越前海岸線（八田・織田経由）（嶺北8）,上瀬口,35.95918798,135.9899632
39,武生越前海岸線（安養寺経由）（嶺北9）,上瀬口,35.95918798,135.9899632
40,福浦線（嶺北3）,上瀬口,35.95918798,135.9899632
41,鯖浦線（嶺北4）,上瀬口,35.95918798,135.9899632
42,武生越前海岸線（八田・織田経由）（嶺北8）,山中,35.95670583,136.0275068
43,武生越前海岸線（安養寺経由）（嶺北9）,山中,35.95670583,136.0275068
44,福浦線（嶺北3）,山中,35.95670583,136.0275068
45,鯖浦線（嶺北4）,山中,35.95670583,136.0275068
46,武生越前海岸線（八田・織田経由）（嶺北8）,四ツ杉,35.96024902,136.0361373
47,武生越前海岸線（安養寺経由）（嶺北9）,四ツ杉,35.96024902,136.0361373
48,福浦線（嶺北3）,四ツ杉,35.96024902,136.0361373
49,鯖浦線（嶺北4）,四ツ杉,35.96024902,136.0361373
50,武生越前海岸線（八田・織田経由）（嶺北8）,三崎,35.96015784,136.0449833
51,武生越前海岸線（安養寺経由）（嶺北9）,三崎,35.96015784,136.0449833
52,福浦線（嶺北3）,三崎,35.96015784,136.0449833
53,鯖浦線（嶺北4）,三崎,35.96015784,136.0449833
54,武生越前海岸線（八田・織田経由）（嶺北8）,織田病院口,35.95872999,136.0475543
55,武生越前海岸線（安養寺経由）（嶺北9）,織田病院口,35.95872999,136.0475543
56,福浦線（嶺北3）,織田病院口,35.95872999,136.0475543
57,鯖浦線（嶺北4）,織田病院口,35.95872999,136.0475543
58,武生越前海岸線（八田・織田経由）（嶺北8）,織田病院,35.95700541,136.0476816
59,福浦線（嶺北3）,織田病院,35.95700541,136.0476816
60,鯖浦線（嶺北4）,織田病院,35.95700541,136.0476816
61,武生越前海岸線（八田・織田経由）（嶺北8）,市場,35.9598235,136.0514581
62,武生越前海岸線（安養寺経由）（嶺北9）,市場,35.9598235,136.0514581
63,福浦線（嶺北3）,市場,35.9598235,136.0514581
64,鯖浦線（嶺北4）,市場,35.9598235,136.0514581
65,武生越前海岸線（八田・織田経由）（嶺北8）,明神前,35.95762201,136.0558784
66,武生越前海岸線（安養寺経由）（嶺北9）,明神前,35.95762201,136.0558784
67,福浦線（嶺北3）,明神前,35.95762201,136.0558784
68,鯖浦線（嶺北4）,明神前,35.95762201,136.0558784
69,武生越前海岸線（八田・織田経由）（嶺北8）,織田,35.95843401,136.0587806
70,武生越前海岸線（安養寺経由）（嶺北9）,織田,35.95843401,136.0587806
71,福浦線（嶺北3）,織田,35.95843401,136.0587806
72,鯖浦線（嶺北4）,織田,35.95843401,136.0587806
73,武生越前海岸線（八田・織田経由）（嶺北8）,平等口,35.95206891,136.0568399
74,武生越前海岸線（安養寺経由）（嶺北9）,平等口,35.95206891,136.0568399
75,鯖浦線（嶺北4）,平等口,35.95206891,136.0568399
76,武生越前海岸線（八田・織田経由）（嶺北8）,下河原,35.94236728,136.0593955
77,武生越前海岸線（安養寺経由）（嶺北9）,下河原口,35.94236728,136.0593955
78,鯖浦線（嶺北4）,下河原,35.94236728,136.0593955
79,武生越前海岸線（八田・織田経由）（嶺北8）,陶芸村口,35.93922317,136.0630852
80,武生越前海岸線（安養寺経由）（嶺北9）,陶芸村口,35.93922317,136.0630852
81,鯖浦線（嶺北4）,陶芸村口,35.93922317,136.0630852
82,武生越前海岸線（安養寺経由）（嶺北9）,陶芸村,35.93674584,136.0627128
83,武生越前海岸線（安養寺経由）（嶺北9）,小曽原,35.9311242,136.0647397
84,武生越前海岸線（安養寺経由）（嶺北9）,中小曽原,35.92856891,136.0673967
85,武生越前海岸線（安養寺経由）（嶺北9）,金刀比羅前,35.92360155,136.0674555
86,武生越前海岸線（安養寺経由）（嶺北9）,農業研修所前,35.92083036,136.0738814
87,武生越前海岸線（安養寺経由）（嶺北9）,安養寺西口,35.91421378,136.0716706
88,武生越前海岸線（安養寺経由）（嶺北9）,安養寺,35.91136746,136.0759533
89,武生越前海岸線（安養寺経由）（嶺北9）,安養寺東口,35.91268526,136.0835009
90,武生越前海岸線（安養寺経由）（嶺北9）,大虫滝,35.90656285,136.1104271
91,武生越前海岸線（安養寺経由）（嶺北9）,朝陽台口,35.90467058,136.1136854
92,武生越前海岸線（安養寺経由）（嶺北9）,大虫神社前,35.89971385,136.1266407
93,武生越前海岸線（安養寺経由）（嶺北9）,上大虫,35.9010145,136.1302994
94,武生越前海岸線（安養寺経由）（嶺北9）,四目口,35.90153951,136.1340326
95,武生越前海岸線（安養寺経由）（嶺北9）,下大虫,35.90059222,136.1397725
96,武生越前海岸線（安養寺経由）（嶺北9）,村田工場前,35.90110386,136.1454655
97,武生越前海岸線（安養寺経由）（嶺北9）,新町,35.90139672,136.1503302
98,南越線（嶺北6）,武生口,35.90151825,136.1545858
99,武生越前海岸線（八田・織田経由）（嶺北8）,武生口,35.90151825,136.1545858
100,武生越前海岸線（安養寺経由）（嶺北9）,武生口,35.90151825,136.1545858
101,南越線（嶺北6）,菊人形前,35.90162676,136.1571494
102,武生越前海岸線（八田・織田経由）（嶺北8）,菊人形前,35.90162676,136.1571494
103,武生越前海岸線（安養寺経由）（嶺北9）,菊人形前,35.90162676,136.1571494
104,南越線（嶺北6）,昭和町（越前市）,35.90173188,136.1600055
105,武生越前海岸線（八田・織田経由）（嶺北8）,昭和町（越前市）,35.90173188,136.1600055
106,武生越前海岸線（安養寺経由）（嶺北9）,昭和町（越前市）,35.90173188,136.1600055
107,南越線（嶺北6）,善光寺通り,35.90166151,136.1633099
108,武生越前海岸線（八田・織田経由）（嶺北8）,善光寺通り,35.90166151,136.1633099
109,武生越前海岸線（安養寺経由）（嶺北9）,善光寺通り,35.90166151,136.1633099
110,坂口・白山線（嶺北7）,広小路,35.90178656,136.1665515
111,武生越前海岸線（安養寺経由）（嶺北9）,広小路,35.90178656,136.1665515
112,池田線（嶺北5）,広小路,35.90178656,136.1665515
113,王子保・河野海岸線（嶺北1）,広小路,35.90178656,136.1665515
114,南越線（嶺北6）,越前市役所前,35.90305476,136.1690025
115,坂口・白山線（嶺北7）,越前市役所前,35.90305476,136.1690025
116,武生越前海岸線（八田・織田経由）（嶺北8）,越前市役所前,35.90305476,136.1690025
117,武生越前海岸線（安養寺経由）（嶺北9）,越前市役所前,35.90305476,136.1690025
118,池田線（嶺北5）,越前市役所前,35.90305476,136.1690025
119,王子保・河野海岸線（嶺北1）,越前市役所前,35.90305476,136.1690025
120,南越線（嶺北6）,JR武生駅前,35.90373831,136.1703465
121,坂口・白山線（嶺北7）,JR武生駅前,35.90373831,136.1703465
122,武生越前海岸線（八田・織田経由）（嶺北8）,JR武生駅前,35.90373831,136.1703465
123,武生越前海岸線（安養寺経由）（嶺北9）,JR武生駅前,35.90373831,136.1703465
124,池田線（嶺北5）,JR武生駅前,35.90373831,136.1703465
125,王子保・河野海岸線（嶺北1）,JR武生駅前,35.90373831,136.1703465
126,南越線（嶺北6）,越前武生,35.90618017,136.1701351
127,坂口・白山線（嶺北7）,越前武生,35.90618017,136.1701351
128,武生越前海岸線（八田・織田経由）（嶺北8）,越前武生,35.90618017,136.1701351
129,武生越前海岸線（安養寺経由）（嶺北9）,越前武生,35.90618017,136.1701351
130,池田線（嶺北5）,越前武生,35.90618017,136.1701351
131,王子保・河野海岸線（嶺北1）,越前武生,35.90618017,136.1701351
132,武生越前海岸線（八田・織田経由）（嶺北8）,かれい崎,35.88328761,135.9999108
133,福浦線（嶺北3）,かれい崎,35.88328761,135.9999108
134,鯖浦線（嶺北4）,かれい崎,35.88328761,135.9999108
135,武生越前海岸線（八田・織田経由）（嶺北8）,美濃浦,35.88542754,135.9977472
136,福浦線（嶺北3）,美濃浦,35.88542754,135.9977472
137,鯖浦線（嶺北4）,美濃浦,35.88542754,135.9977472
138,武生越前海岸線（八田・織田経由）（嶺北8）,米ノ浦,35.8872826,135.9966574
139,福浦線（嶺北3）,米ノ浦,35.8872826,135.9966574
140,鯖浦線（嶺北4）,米ノ浦,35.8872826,135.9966574
141,武生越前海岸線（八田・織田経由）（嶺北8）,新屋敷,35.88879295,135.9949044
142,福浦線（嶺北3）,新屋敷,35.88879295,135.9949044
143,鯖浦線（嶺北4）,新屋敷,35.88879295,135.9949044
144,武生越前海岸線（八田・織田経由）（嶺北8）,海楽園前,35.89098992,135.9961097
145,福浦線（嶺北3）,海楽園前,35.89098992,135.9961097
146,鯖浦線（嶺北4）,海楽園前,35.89098992,135.9961097
147,武生越前海岸線（八田・織田経由）（嶺北8）,高佐,35.89537205,135.9954691
148,福浦線（嶺北3）,高佐,35.89537205,135.9954691
149,鯖浦線（嶺北4）,高佐,35.89537205,135.9954691
150,武生越前海岸線（八田・織田経由）（嶺北8）,高佐会館前,35.89695656,135.9956039
151,福浦線（嶺北3）,高佐会館前,35.89695656,135.9956039
152,鯖浦線（嶺北4）,高佐会館前,35.89695656,135.9956039
153,武生越前海岸線（八田・織田経由）（嶺北8）,白浜,35.90195688,135.997846
154,福浦線（嶺北3）,白浜,35.90195688,135.997846
155,鯖浦線（嶺北4）,白浜,35.90195688,135.997846
156,武生越前海岸線（八田・織田経由）（嶺北8）,中茂原,35.90903505,135.996953
157,福浦線（嶺北3）,中茂原,35.90903505,135.996953
158,鯖浦線（嶺北4）,中茂原,35.90903505,135.996953
159,武生越前海岸線（八田・織田経由）（嶺北8）,茂原,35.91125205,135.9965382
160,福浦線（嶺北3）,茂原,35.91125205,135.9965382
161,鯖浦線（嶺北4）,茂原,35.91125205,135.9965382
162,武生越前海岸線（八田・織田経由）（嶺北8）,長須浜,35.91401734,135.9955274
163,福浦線（嶺北3）,長須浜,35.91401734,135.9955274
164,鯖浦線（嶺北4）,長須浜,35.91401734,135.9955274
165,武生越前海岸線（八田・織田経由）（嶺北8）,道の駅「越前」,35.92032043,135.9976914
166,福浦線（嶺北3）,道の駅「越前」,35.92032043,135.9976914
167,鯖浦線（嶺北4）,道の駅「越前」,35.92032043,135.9976914
168,武生越前海岸線（八田・織田経由）（嶺北8）,大浜,35.92603302,135.9984537
169,福浦線（嶺北3）,大浜,35.92603302,135.9984537
170,鯖浦線（嶺北4）,大浜,35.92603302,135.9984537
171,武生越前海岸線（八田・織田経由）（嶺北8）,くりや,35.92959527,135.9985855
172,福浦線（嶺北3）,くりや,35.92959527,135.9985855
173,鯖浦線（嶺北4）,くりや,35.92959527,135.9985855
174,武生越前海岸線（八田・織田経由）（嶺北8）,道口,35.93336858,135.9982775
175,福浦線（嶺北3）,道口,35.93336858,135.9982775
176,鯖浦線（嶺北4）,道口,35.93336858,135.9982775
177,武生越前海岸線（八田・織田経由）（嶺北8）,越前コミュニティセンター,35.93636029,135.9968661
178,福浦線（嶺北3）,越前コミュニティセンター,35.93636029,135.9968661
179,鯖浦線（嶺北4）,越前コミュニティセンター,35.93636029,135.9968661
180,武生越前海岸線（八田・織田経由）（嶺北8）,大樟,35.93853114,135.9953194
181,福浦線（嶺北3）,大樟,35.93853114,135.9953194
182,鯖浦線（嶺北4）,大樟,35.93853114,135.9953194
183,武生越前海岸線（八田・織田経由）（嶺北8）,小樟,35.94061583,135.9933937
184,福浦線（嶺北3）,小樟,35.94061583,135.9933937
185,鯖浦線（嶺北4）,小樟,35.94061583,135.9933937
186,武生越前海岸線（八田・織田経由）（嶺北8）,小樟北,35.94233082,135.9907446
187,福浦線（嶺北3）,小樟北,35.94233082,135.9907446
