#LINK,,,,,,,
#file_name,fukutetsu_name,,,,,,
#lang,ja,,,,,,
#attribution_name,fukuishi,,,,,,
#property,駅番号,駅名,駅名_かな,駅名_英語,住所,郵便番号,連絡先
#object_type_xsd,string,string,string,string,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,F0,たけふ新,たけふしん,Takefu-shin,越前市府中3丁目1-1,915-0071,0778-22-0617
2,F1,北府,きたご,Kitago,越前市北府2丁目4-7,,
3,F2,スポーツ公園,すぽーつこうえん,Sportskoen,越前市家久町99-15,,
4,F3,家久,いえひさ,Iehisa,越前市家久町88字1-5,,
5,F4,サンドーム西,さんどーむにし,Sundome-nishi,鯖江市舟津町3丁目4-15,,
6,F5,西鯖江,にしさばえ,Nishisabae,鯖江市桜町1丁目3-13,916-0027,0778-51-8215
7,F6,西山公園,にしやまこうえん,Nishiyamakoen,鯖江市長泉寺町1丁目8-3,,
8,F7,水落,みずおち,Mizuochi,鯖江市水落町2丁目10-22,,
9,F8,神明,しんめい,Shinmei,鯖江市神明町1丁目7-6,916-0071,0778-51-3246
10,F9,鳥羽中,とばなか,Tobanaka,鯖江市神明町5丁目2-20,,
11,F10,三十八社,さんじゅうはっしゃ,Sanjuhassha,福井市下江尻町5-27-4,,
12,F11,泰澄の里,たいちょうのさと,Taichonosato,福井市浅水町139字上五枚田,,
13,F12,浅水,あそうず,Asozu,福井市浅水町104庄境15,918-8181,0776-38-1274
14,F13,ハーモニーホール,はーもにーほーる,Harmonyhall,福井市今市町37字板取22番地,,
15,F14,清明,せいめい,Seimei,福井市今市町65字板取25,,
16,F15,江端,えばた,Ebata,福井市江端町21-49-3,,
17,F16,ベル前,べるまえ,Bell-mae,福井市花堂南1丁目8,,
18,F17,花堂,はなんどう,Hanando,福井市花堂北1丁目11-11,,
19,F18,赤十字前,せきじゅうじまえ,Sekijujimae,福井市みのり1丁目14-21,918-8005,0776-36-0251
20,F19,商工会議所前,しょうこうかいぎしょまえ,Shokokaigisyo-mae,"（下り）福井市西木田2丁目3－6 　付近
（上り）福井市西木田1-17-16　付近",,
21,F20,足羽山公園口,あすわやまこうえんぐち,Asuwayamakoen-guchi,"（下り）福井市毛矢町2丁目5-7　付近
（上り）福井市毛矢町1丁目6-23　付近",,
22,F21,福井城址大名町,ふくいじょうしだいみょうまち,Fukui Castle Ruins-daimyomachi　,福井市大手3丁目8-6　付近,,
23,F22,福井駅,ふくいえき,Fukuieki,福井市中央1丁目3-1　付近,,
24,F23,仁愛女子高校,じんあいじょしこうこう,Jin-ai Girls' High School,"（下り）福井市宝永4丁目10-6　付近
（上り）福井市春山1丁目6-4　付近",,
25,F24,田原町,たわらまち,Tawaramachi,福井市田原1丁目20-7,910-0018,0776-28-5800
