#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,fukutetsu_nobori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,fukuishi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,列車番号,行き先,種別,鷲塚針原_発,中角_発,新田塚_発,八ツ島_発,日華化学前_発,西福井_発,田原町_着,田原町_発,仁愛女子_発,福井城址_着,福井駅_着,福井駅_発,福井城址_発,足羽山公_発,商工会議_発,赤十字前_発,花堂_発,ベル前_発,江端_発,清明_発,ハ－モニ_発,浅水_発,泰澄の里_発,三十八社_発,鳥羽中_発,神明_発,水落_発,西山公園_発,西鯖江_発,サンド西_発,家久_発,スポ公_発,北府_発,たけふ新_着,備考
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,602,たけふ新,普通,,,,,,,,6:01,6:04,6:05,,,6:06,6:09,6:11,6:16,6:18,6:20,6:22,6:24,6:26,6:28,6:30,6:33,6:35,6:38,6:43,6:45,6:47,6:49,6:54,6:55,6:58,7:00,
2,620,たけふ新,普通,,,,,,,,,,,,6:20,6:27,6:30,6:32,6:37,6:39,6:41,6:43,6:45,6:47,6:49,6:51,6:54,6:57,7:00,7:04,7:06,7:11,7:13,7:16,7:18,7:22,7:24,
3,638Ｋ,駅経由たけふ新,区間急行,,,,,,,,6:37,6:40,6:41,6:47,6:50,6:57,7:00,7:02,7:07,→,7:10,→,→,→,7:18,→,→,→,7:28,7:34,7:37,7:39,7:42,7:45,7:47,7:50,7:52,区間急行(福井駅～神明駅は急行、神明駅～たけふ新駅は普通)
4,700,たけふ新,普通,,,,,,,,7:00,7:03,7:04,,,7:05,7:08,7:10,7:16,7:18,7:20,7:24,7:26,7:28,7:30,7:33,7:35,7:38,7:41,7:44,7:47,7:49,7:51,7:55,7:56,7:59,8:01,
5,722Ｋ,たけふ新,区間急行,,,,,,,,,,,,7:21,7:28,7:31,7:33,7:38,→,7:41,→,→,→,7:49,→,→,→,7:57,7:59,8:02,8:04,8:06,8:10,8:11,8:14,8:16,区間急行(福井駅～神明駅は急行、神明駅～たけふ新駅は普通)
6,734,たけふ新,普通,,,,,,,,7:34,7:37,7:38,,,7:39,7:43,7:45,7:51,7:55,7:57,7:59,8:01,8:03,8:07,8:09,8:12,8:14,8:17,8:20,8:22,8:25,8:27,8:30,8:32,8:36,8:38,
7,758Ｒ,たけふ新,普通,,,,,,7:59,8:01,8:03,8:06,8:08,,,8:09,8:12,8:14,8:19,8:21,8:23,8:25,8:26,8:28,8:31,8:33,8:36,8:38,8:41,8:44,8:46,8:48,8:50,8:53,8:55,8:57,8:59,
8,800Ｋ,駅経由たけふ新,急行,,,,,,,,8:00,8:03,8:05,8:10,8:15,8:22,8:25,8:27,8:30,→,8:33,→,→,→,8:41,→,→,→,8:53,8:56,→,9:00,→,9:05,→,9:08,9:10,福井駅経由、休日及び12/29～1/3運休
9,816R,たけふ新,普通,,,,,,8:17,8:18,8:26,8:29,8:31,,,8:32,8:35,8:37,8:41,8:43,8:45,8:47,8:49,8:51,8:53,8:55,8:59,9:01,9:04,9:07,9:09,9:11,9:13,9:18,9:20,9:22,9:24,
10,840,たけふ新,普通,,,,,,,,8:39,8:42,8:44,,,8:45,8:48,8:50,8:54,8:56,8:58,9:00,9:02,9:04,9:06,9:08,9:10,9:13,9:16,9:19,9:21,9:24,9:26,9:29,9:31,9:33,9:35,
11,904,駅経由たけふ新,普通,,,,,,,,9:04,9:07,9:08,9:14,9:17,9:24,9:27,9:29,9:34,9:36,9:38,9:40,9:42,9:44,9:46,9:48,9:50,9:53,9:56,10:00,10:02,10:04,10:06,10:09,10:11,10:16,10:18,福井駅経由
12,942,駅経由たけふ新,普通,,,,,,,,9:42,9:45,9:46,9:52,9:55,10:02,10:05,10:07,10:12,10:14,10:16,10:21,10:22,10:24,10:26,10:28,10:31,10:33,10:36,10:39,10:41,10:43,10:45,10:50,10:52,10:54,10:56,福井駅経由
13,1024Ｋ,たけふ新,急行,,,,,,,,,,,,10:24,10:31,→,→,10:39,→,10:42,→,→,→,10:46,→,→,→,10:54,11:00,→,11:03,→,11:08,→,11:11,11:13,休日及び12/29～1/3運休
14,958Ｒ,駅経由たけふ新,普通,9:59,,10:04,10:06,10:07,10:10,10:11,10:14,10:17,10:18,10:24,10:27,10:34,10:37,10:39,10:44,10:46,10:48,10:51,10:53,10:55,10:57,10:59,11:01,11:04,11:07,11:09,11:12,11:14,11:16,11:20,11:22,11:24,11:26,福井駅経由
