#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,katsuyama_kudari,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,fukuishi,,,,,,,,,,,,,,,,,,,,,,,,,
#property,列車番号,列車種別,始発～行先,福井,新福井,福井口,越前開発,越前新保,追分口,東藤島,越前島橋,観音町,松岡,志比堺,永平寺口,下志比,光明寺,轟,越前野中,山王,越前竹原,小舟渡,保田,発坂,比島,勝山
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,629K,電,福井～勝山,6:30,6:32,6:34,6:36,6:38,6:41,6:43,6:44,6:47,6:49,6:51,6:54,6:56,6:58,7:01,7:03,7:05,7:13,7:16,7:19,7:22,7:26,7:28
2,701K,電,福井～勝山,7:02,7:03,7:05,7:07,7:10,7:12,7:13,7:17,7:20,7:22,7:24,7:29,7:31,7:33,7:37,7:39,7:42,7:46,7:49,7:52,7:54,7:58,8:00
3,735K,電,福井～勝山,7:35,7:37,7:39,7:41,7:44,7:46,7:48,7:51,7:53,7:56,7:58,8:02,8:04,8:06,8:08,8:11,8:13,8:17,8:20,8:23,8:26,8:29,8:31
4,6753K,電（土・日・祝・振休・年末年始　運休）,福井～永平寺口,7:54,7:55,8:01,8:04,8:06,8:08,8:10,8:12,8:14,8:17,8:19,8:21,,,,,,,,,,,
5,805K,電,福井～勝山,8:05,8:07,8:11,8:13,8:16,8:18,8:19,8:21,8:23,8:26,8:28,8:32,8:34,8:36,8:38,8:41,8:43,8:46,8:49,8:52,8:56,8:59,9:01
6,827K,電,福井～勝山,8:28,8:29,8:31,8:34,8:36,8:38,8:40,8:42,8:45,8:47,8:49,8:55,8:58,8:59,9:02,9:04,9:07,9:11,9:14,9:17,9:25,9:28,9:31
7,857K,電,福井～勝山,8:57,8:58,9:00,9:02,9:05,9:07,9:08,9:10,9:12,9:15,9:17,9:20,9:22,9:24,9:26,9:29,9:31,9:34,9:37,9:40,9:43,→,9:48
8,925K,電,福井～勝山,9:25,9:26,9:29,9:31,9:35,9:37,9:38,9:40,9:42,9:45,9:47,9:50,9:52,9:54,9:56,9:59,10:01,10:04,10:07,10:10,10:13,10:16,10:19
9,955K,電,福井～勝山,9:55,9:56,9:59,10:01,10:05,10:07,10:08,10:10,10:12,10:15,10:17,10:20,10:22,10:24,10:26,10:29,10:31,10:34,10:37,10:40,10:43,→,10:48
10,1025K,電,福井～勝山,10:25,10:26,10:29,10:31,10:35,10:37,10:38,10:40,10:42,10:45,10:47,10:50,10:52,10:54,10:56,10:59,11:01,11:04,11:07,11:10,11:13,11:16,11:19
11,1055K,電,福井～勝山,10:55,10:56,10:59,11:01,11:05,11:07,11:08,11:10,11:12,11:15,11:17,11:20,11:22,11:24,11:26,11:29,11:31,11:34,11:37,11:40,11:43,→,11:48
12,1125K,電,福井～勝山,11:25,11:26,11:29,11:31,11:35,11:37,11:38,11:40,11:42,10:45,11:47,11:50,11:52,11:54,11:56,11:59,12:01,12:04,12:07,12:10,12:13,12:16,12:19
13,1155K,電,福井～勝山,11:55,11:56,11:59,12:01,12:05,12:07,12:08,12:10,12:12,12:15,12:17,12:20,12:22,12:24,12:26,12:29,12:31,12:34,12:37,12:40,12:43,→,12:48
14,1225K,電,福井～勝山,12:25,12:26,12:29,12:31,12:35,12:37,12:38,12:40,12:42,12:45,12:47,12:50,12:52,12:54,12:56,12:59,13:01,13:04,13:07,13:10,13:13,13:16,13:19
