#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,katsuyama_nobori,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,fukuishi,,,,,,,,,,,,,,,,,,,,,,,,,
#property,列車番号,列車種別,始発～行先,勝山,比島,発坂,保田,小舟渡,越前竹原,山王,越前野中,轟,光明寺,下志比,永平寺口,志比堺,松岡,観音町,越前島橋,東藤島,追分口,越前新保,越前開発,福井口,新福井,福井
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,520K,電,勝山～福井,5:20,5:22,5:26,5:28,5:31,5:34,5:37,5:39,5:42,5:45,5:46,5:49,5:51,5:54,5:56,5:58,6:00,6:01,6:03,6:05,6:08,6:10,6:11
2,600K,電,勝山～福井,6:00,6:02,6:06,6:08,6:11,6:14,6:17,6:19,6:22,6:24,6:26,6:28,6:31,6:33,6:35,6:38,6:39,6:41,6:43,6:45,6:48,6:49,6:51
3,636K,電,勝山～福井,6:37,6:39,6:43,6:45,6:48,6:51,6:54,6:57,7:00,7:03,7:05,7:07,7:10,7:12,7:14,7:17,7:18,7:20,7:22,7:24,7:27,7:29,7:30
4,6716K,電（土・日・祝・振休・年末年始　運休）,永平寺口～福井,,,,,,,,,,,,7:16,7:18,7:22,7:24,7:27,7:29,7:31,7:33,7:35,7:38,7:40,7:41
5,658K,電,勝山～福井,6:59,7:01,7:05,7:07,7:10,7:13,7:16,7:19,7:21,7:24,7:26,7:28,7:31,7:33,7:36,7:38,7:40,7:42,7:44,7:46,7:49,7:51,7:52
6,3716K,快速電（日・祝・振休・年末年始　運休）,勝山～福井,7:17,→,7:23,→,→,7:30,7:33,→,→,→,→,7:42,→,7:47,7:49,7:51,7:53,7:55,7:57,7:59,8:02,8:04,8:05
7,732K,電,勝山～福井,7:32,7:34,7:38,7:40,7:43,7:46,7:50,7:52,7:55,7:58,8:00,8:02,8:05,8:07,8:10,8:12,8:14,8:17,8:20,8:22,8:24,8:26,8:27
8,802K,電,勝山～福井,8:03,8:06,8:09,8:11,8:14,8:18,8:21,8:23,8:26,8:28,8:30,8:33,8:36,8:38,8:40,8:42,8:44,8:46,8:48,8:50,8:52,8:54,8:55
9,6852K,電（土・日・祝・振休・年末年始　運休）,永平寺口～福井,,,,,,,,,,,,8:52,8:55,8:57,8:59,9:02,9:03,9:06,9:08,9:10,9:13,9:15,9:16
10,850K,電,勝山～福井,8:50,8:52,8:56,8:58,9:01,9:04,9:07,9:10,9:12,9:15,9:17,9:20,9:23,9:25,9:27,9:29,9:31,9:33,9:35,9:37,9:39,9:41,9:42
11,918K,電,勝山～福井,9:19,→,9:25,9:27,9:30,9:34,9:37,9:40,9:42,9:45,9:47,9:50,9:53,9:55,9:57,9:59,10:01,10:03,10:05,10:07,10:09,10:11,10:12
12,948K,電,勝山～福井,9:49,9:52,9:55,9:57,10:00,10:04,10:07,10:10,10:12,10:15,10:17,10:20,10:23,10:25,10:27,10:29,10:31,10:33,10:35,10:37,10:39,10:41,10:42
13,1018K,電,勝山～福井,10:19,→,10:25,10:27,10:30,10:34,10:37,10:40,10:42,10:45,10:47,10:50,10:53,10:55,10:57,10:59,11:01,11:03,11:05,11:07,11:09,11:11,11:12
14,1048K,電,勝山～福井,10:49,10:52,10:55,10:57,11:00,11:04,11:07,11:10,11:12,11:15,11:17,11:20,11:23,11:25,11:27,11:29,11:31,11:33,11:35,11:37,11:39,11:41,11:42
15,1118K,電,勝山～福井,11:19,→,11:25,11:27,11:30,11:34,11:37,11:40,11:42,11:45,11:47,11:50,11:53,11:55,11:57,11:59,12:01,12:03,12:05,12:07,12:09,12:11,12:12
16,1148K,電,勝山～福井,11:49,11:52,11:55,11:57,12:00,12:04,12:07,12:10,12:12,12:15,12:17,12:20,12:23,12:25,12:27,12:29,12:31,12:33,12:35,12:37,12:39,12:41,12:42
17,1218K,電,勝山～福井,12:19,→,12:25,12:27,12:30,12:34,12:37,12:40,12:42,12:45,12:47,12:50,12:53,12:55,12:57,12:59,13:01,13:03,13:05,13:07,13:09,13:11,13:12
18,1248K,電,勝山～福井,12:49,12:52,12:55,12:57,13:00,13:04,13:07,13:10,13:12,13:15,13:17,13:20,13:23,13:25,13:27,13:29,13:31,13:33,13:35,13:37,13:39,13:41,13:42
19,1318K,電,勝山～福井,13:19,→,13:25,13:27,13:30,13:34,13:37,13:40,13:42,13:45,13:47,13:50,13:53,13:55,13:57,13:59,14:01,14:03,14:05,14:07,14:09,14:11,14:12
20,1348K,電,勝山～福井,13:49,13:52,13:55,13:57,14:00,14:04,14:07,14:10,14:12,14:15,14:17,14:20,14:23,14:25,14:27,14:29,14:31,14:33,14:35,14:37,14:39,14:41,14:42
21,1418K,電,勝山～福井,14:19,→,14:25,14:27,14:30,14:34,14:37,14:40,14:42,14:45,14:47,14:50,14:53,14:55,14:57,14:59,15:01,15:03,15:05,15:07,15:09,15:11,15:12
22,1448K,電,勝山～福井,14:49,14:52,14:55,14:57,15:00,15:04,15:07,15:10,15:12,15:15,15:17,15:20,15:23,15:25,15:27,15:29,15:31,15:33,15:35,15:37,15:39,15:41,15:42
23,1518K,電,勝山～福井,15:19,→,15:25,15:27,15:30,15:34,15:37,15:40,15:42,15:45,15:47,15:50,15:53,15:55,15:57,15:59,16:01,16:03,16:05,16:07,16:09,16:11,16:12
24,1548K,電,勝山～福井,15:49,15:52,15:55,15:57,16:00,16:04,16:07,16:10,16:12,16:15,16:17,16:20,16:23,16:25,16:27,16:29,16:31,16:33,16:35,16:37,16:39,16:41,16:42
25,1618K,電,勝山～福井,16:19,16:22,16:25,16:27,16:30,16:34,16:37,16:40,16:42,16:45,16:47,16:50,16:53,16:55,16:57,16:59,17:01,17:03,17:05,17:07,17:09,17:11,17:12
26,1648K,電,勝山～福井,16:49,16:52,16:55,16:57,17:00,17:04,17:07,17:10,17:12,17:15,17:17,17:20,17:23,17:25,17:27,17:29,17:31,17:33,17:35,17:37,17:39,17:41,17:42
27,1718K,電,勝山～福井,17:19,17:22,17:25,17:27,17:30,17:34,17:37,17:40,17:42,17:45,17:47,17:50,17:53,17:55,17:57,17:59,18:01,18:03,18:05,18:07,18:09,18:11,18:12
28,1748K,電,勝山～福井,17:49,17:52,17:55,17:57,18:00,18:04,18:07,18:10,18:12,18:15,18:17,18:20,18:23,18:25,18:27,18:29,18:31,18:33,18:35,18:37,18:39,18:41,18:42
29,1818K,電,勝山～福井,18:19,18:22,18:25,18:27,18:30,18:34,18:37,18:40,18:42,18:45,18:47,18:50,18:53,18:55,18:57,18:59,19:01,19:03,19:05,19:07,19:09,19:11,19:12
30,1848K,電,勝山～福井,18:49,18:52,18:55,18:57,19:00,19:04,19:07,19:10,19:12,19:15,19:17,19:20,19:23,19:25,19:27,19:29,19:31,19:33,19:35,19:37,19:39,19:41,19:42
31,1918K,電,勝山～福井,19:19,19:22,19:25,19:27,19:30,19:34,19:37,19:40,19:42,19:45,19:47,19:50,19:53,19:55,19:57,19:59,20:01,20:03,20:05,20:07,20:09,20:11,20:12
32,1948K,電,勝山～福井,19:49,19:52,19:55,19:57,20:00,20:04,20:07,20:10,20:12,20:15,20:17,20:20,20:23,20:25,20:27,20:29,20:31,20:33,20:35,20:37,20:39,20:41,20:42
33,2018K,電,勝山～福井,20:19,20:22,20:25,20:27,20:30,20:34,20:37,20:40,20:42,20:45,20:47,20:50,20:53,20:55,20:57,20:59,21:01,21:03,21:05,21:07,21:09,21:11,21:12
34,2048K,電,勝山～福井,20:49,20:52,20:55,20:57,21:00,21:04,21:07,21:10,21:12,21:15,21:17,21:19,21:22,21:24,21:27,21:29,21:31,21:32,21:34,21:36,21:39,21:41,21:42
35,2156K,電,勝山～福井,21:57,22:00,22:03,22:05,22:08,22:12,22:15,22:18,22:20,22:23,22:25,22:27,22:30,22:32,22:34,22:39,22:41,22:42,22:44,22:46,22:49,22:51,22:52
