#LINK,,,,,,,,
#file_name,keifuku_rosenkeitou,,,,,,,
#lang,ja,,,,,,,
#attribution_name,fukuishi,,,,,,,
#property,路線番号,系統番号,順序,バス停番号,バス停番号枝番,路線名,系統名,バス停名
#object_type_xsd,int,int,int,int,int,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,1,1,1,2,6,コミュニティバス,すまいる　田原・文京方面,福井駅
2,1,1,2,3047,0,コミュニティバス,すまいる　田原・文京方面,福井駅北
3,1,1,3,115,2,コミュニティバス,すまいる　田原・文京方面,城町
4,1,1,4,116,2,コミュニティバス,すまいる　田原・文京方面,養浩館口江戸上町
5,1,1,5,120,2,コミュニティバス,すまいる　田原・文京方面,松本二丁目
6,1,1,6,3061,0,コミュニティバス,すまいる　田原・文京方面,西別院駅
7,1,1,7,3060,0,コミュニティバス,すまいる　田原・文京方面,北陸高校東
8,1,1,8,3059,0,コミュニティバス,すまいる　田原・文京方面,文京一丁目
9,1,1,9,130,10,コミュニティバス,すまいる　田原・文京方面,宮前町
10,1,1,10,3057,0,コミュニティバス,すまいる　田原・文京方面,護国神社前
11,1,1,11,3056,0,コミュニティバス,すまいる　田原・文京方面,護国神社口
12,1,1,12,104,1,コミュニティバス,すまいる　田原・文京方面,藤島高校前
13,1,1,13,3054,0,コミュニティバス,すまいる　田原・文京方面,田原町商店街
14,1,1,14,8217,0,コミュニティバス,すまいる　田原・文京方面,田原町駅
15,1,1,15,3052,0,コミュニティバス,すまいる　田原・文京方面,田原二丁目
16,1,1,16,3051,0,コミュニティバス,すまいる　田原・文京方面,春山二丁目
17,1,1,17,3050,0,コミュニティバス,すまいる　田原・文京方面,片町商店街
18,1,1,18,3048,0,コミュニティバス,すまいる　田原・文京方面,大名町（福井市役所口）
19,1,1,19,3085,0,コミュニティバス,すまいる　田原・文京方面,駅前電車通り
20,1,1,20,2,6,コミュニティバス,すまいる　田原・文京方面,福井駅
21,1,2,1,2,6,コミュニティバス,すまいる　照手・足羽方面,福井駅
22,1,2,2,3000,0,コミュニティバス,すまいる　照手・足羽方面,駅前商店街
23,1,2,3,7,2,コミュニティバス,すまいる　照手・足羽方面,福井銀行本店前
24,1,2,4,8,0,コミュニティバス,すまいる　照手・足羽方面,片町入口
25,1,2,5,76,2,コミュニティバス,すまいる　照手・足羽方面,上呉服町
26,1,2,6,3067,0,コミュニティバス,すまいる　照手・足羽方面,照手一丁目
27,1,2,7,3068,0,コミュニティバス,すまいる　照手・足羽方面,照手三丁目
28,1,2,8,3069,0,コミュニティバス,すまいる　照手・足羽方面,花月橋北
29,1,2,9,3070,0,コミュニティバス,すまいる　照手・足羽方面,照手四丁目
30,1,2,10,3071,0,コミュニティバス,すまいる　照手・足羽方面,光陽一丁目
31,1,2,11,3072,0,コミュニティバス,すまいる　照手・足羽方面,光陽二丁目
32,1,2,12,3073,0,コミュニティバス,すまいる　照手・足羽方面,新明里橋北
33,1,2,13,3074,0,コミュニティバス,すまいる　照手・足羽方面,明里町
34,1,2,14,3075,0,コミュニティバス,すまいる　照手・足羽方面,足羽五丁目
