#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,fukuishi,,,,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,mikuni_kudari,,,,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,列車番号,列車種別,始発～行先,福井,新福井,福井口,まつもと町屋,西別院,田原町,福大前西福井,日華化学前,八ッ島,新田塚,中角,仁愛グランド前,鷲塚針原,太郎丸エンゼルランド,西春江ハートピア,西長田ゆりの里,下兵庫こうふく,大関,本荘,番田,あわら湯のまち,水居,三国神社,三国,三国港
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,615M,電,福井～三国港,6:15,6:17,6:19,6:21,6:23,6:24,6:26,6:28,6:29,6:31,6:33,→,6:36,6:38,6:40,6:42,6:45,6:48,6:51,6:53,6:56,6:59,7:01,7:03,7:05
2,647M,電,福井～三国港,6:48,6:49,6:51,6:54,6:56,6:58,6:59,7:01,7:02,7:04,7:06,→,7:09,7:11,7:13,7:16,7:19,7:24,7:27,7:29,7:32,7:35,7:37,7:39,7:41
3,6707M,電（日・祝・振休・年末年始　運休）,福井～西長田,7:07,7:08,7:10,7:13,7:14,7:16,7:17,7:19,7:21,7:23,7:24,→,7:28,7:30,7:33,7:35,,,,,,,,,
4,723M,電,福井～三国港,7:23,7:25,7:27,7:30,7:32,7:33,7:35,7:36,7:38,7:41,7:42,→,7:45,7:47,7:49,7:52,7:55,7:58,8:00,8:02,8:05,8:08,8:10,8:12,8:14
5,749M,電,福井～三国港,7:49,7:51,7:56,7:59,8:01,8:02,8:05,8:06,8:08,8:14,8:16,→,8:23,8:25,8:27,8:30,8:32,8:37,8:40,8:42,8:45,8:48,8:50,8:52,8:53
6,6811M,電（日・祝・振休・年末年始　運休）,福井～西長田,8:12,8:13,8:16,8:18,8:20,8:21,8:23,8:25,8:26,8:28,8:30,→,8:33,8:35,8:37,8:39,,,,,,,,,
7,839M,電,福井～三国港,8:39,8:41,8:43,8:46,8:47,8:49,8:51,8:52,8:54,8:56,8:58,→,9:01,9:03,9:04,9:07,9:09,9:12,9:15,9:17,9:20,9:22,9:25,9:26,9:28
8,909M,電,福井～三国港,9:09,9:11,9:13,9:15,9:17,9:18,9:20,9:22,9:23,9:25,9:27,→,9:30,9:32,9:34,9:37,9:39,9:42,9:45,9:47,9:50,9:52,9:55,9:56,9:58
9,939M,電,福井～三国港,9:39,9:41,9:43,9:45,9:47,9:48,9:50,9:52,9:53,9:55,9:57,→,10:00,10:02,10:04,10:07,10:09,10:12,10:15,10:17,10:20,10:22,10:25,10:26,10:28
10,1009M,電,福井～三国港,10:09,10:11,10:13,10:15,10:17,10:18,10:20,10:22,10:23,10:25,10:27,→,10:30,10:32,10:34,10:37,10:39,10:42,10:45,10:47,10:50,10:52,10:55,10:56,10:58
