#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,fukuishi,,,,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,mikuni_nobori,,,,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,列車番号,列車種別,始発～行先,三国港,三国,三国神社,水居,あわら湯のまち,番田,本荘,大関,下兵庫こうふく,西長田ゆりの里,西春江ハートピア,太郎丸エンゼルランド,鷲塚針原,仁愛グランド前,中角,新田塚,八ッ島,日華化学前,福大前西福井,田原町,西別院,まつもと町屋,福井口,新福井,福井
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,530M,電,三国港～福井,5:30,5:32,5:34,5:36,5:39,5:42,5:44,5:46,5:49,5:52,5:54,5:56,5:58,→,6:01,6:03,6:05,6:06,6:08,6:10,6:11,6:12,6:15,6:17,6:18
2,614M,電,三国港～福井,6:14,6:16,6:18,6:20,6:23,6:26,6:28,6:31,6:33,6:36,6:40,6:41,6:43,→,6:46,6:48,6:50,6:51,6:53,6:55,6:57,6:58,7:01,7:03,7:04
3,644M,電,三国港～福井,6:45,6:47,6:49,6:51,6:55,6:58,7:00,7:03,7:05,7:08,7:13,7:14,7:16,→,7:19,7:22,7:24,7:25,7:27,7:29,7:31,7:33,7:35,7:37,7:38
4,3710M,快速電,三国港～福井,7:10,7:13,→,→,7:18,→,7:22,7:25,7:27,7:30,7:33,7:35,7:37,→,→,7:41,7:43,7:44,7:46,7:48,7:49,7:51,7:54,7:55,7:57
5,6738M,電（日・祝・振休・年末年始　運休）,西長田～福井,,,,,,,,,,7:38,7:40,7:42,7:45,→,7:48,7:50,7:52,7:53,7:55,7:57,8:00,8:01,8:05,8:06,8:08
6,720M,電,三国港～福井,7:21,7:23,7:25,7:27,7:31,7:34,7:37,7:40,7:43,7:45,7:49,7:51,7:53,→,7:55,7:57,7:59,8:01,8:04,8:05,8:07,8:08,8:11,8:13,8:14
7,748M,電,あわら湯のまち～福井,,,,,7:49,7:52,7:54,7:57,8:00,8:03,8:06,8:07,8:09,→,8:12,8:15,8:16,8:18,8:23,8:24,8:26,8:27,8:31,8:32,8:34
8,754M,電,三国港～福井,7:54,7:57,7:58,8:01,8:05,8:07,8:09,8:12,8:15,8:17,8:20,8:22,8:24,→,8:27,8:29,8:30,8:32,8:34,8:35,8:37,8:38,8:42,8:44,8:45
9,820M,電,三国港～福井,8:21,8:23,8:25,8:27,8:30,8:33,8:35,8:38,8:40,8:43,8:46,8:47,8:49,→,8:52,8:55,8:57,8:58,9:00,9:02,9:03,9:04,9:09,9:10,9:12
10,6900M,電（日・祝・振休・年末年始　運休）,西長田～福井,,,,,,,,,,9:00,9:04,9:06,9:08,→,9:11,9:13,9:14,9:16,9:20,9:21,9:23,9:24,9:28,9:29,9:31
11,908M,電,三国港～福井,9:09,9:11,9:13,9:15,9:19,9:22,9:24,9:26,9:29,9:32,9:34,9:36,9:39,→,9:42,9:44,9:45,9:47,9:50,9:51,9:53,9:54,9:58,9:59,10:01
12,938M,電,三国港～福井,9:39,9:41,9:43,9:45,9:49,9:52,9:54,9:56,9:59,10:02,10:04,10:06,10:09,→,10:12,10:14,10:15,10:17,10:20,10:21,10:23,10:24,10:28,10:29,10:31
13,1008M,電,三国港～福井,10:09,10:11,10:13,10:15,10:19,10:22,10:24,10:26,10:29,10:32,10:34,10:36,10:39,→,10:42,10:44,10:45,10:47,10:50,10:51,10:53,10:54,10:58,10:59,11:01
14,1038M,電,三国港～福井,10:39,10:41,10:43,10:45,10:49,10:52,10:54,10:56,10:59,11:02,11:04,11:06,11:09,→,11:12,11:14,11:15,11:17,11:20,11:21,11:23,11:24,11:28,11:29,11:31
15,1108M,電,三国港～福井,11:09,11:11,11:13,11:15,11:19,11:22,11:24,11:26,11:29,11:32,11:34,11:36,11:39,→,11:42,11:44,11:45,11:47,11:50,11:51,11:53,11:54,11:58,11:59,12:01
16,1138M,電,三国港～福井,11:39,11:41,11:43,11:45,11:49,11:52,11:54,11:56,11:59,12:02,12:04,12:06,12:09,→,12:12,12:14,12:15,12:17,12:20,12:21,12:23,12:24,12:28,12:29,12:31
17,1208M,電,三国港～福井,12:09,12:11,12:13,12:15,12:19,12:22,12:24,12:26,12:29,12:32,12:34,12:36,12:39,→,12:42,12:44,12:45,12:47,12:50,12:51,12:53,12:54,12:58,12:59,13:01
18,1238M,電,三国港～福井,12:39,12:41,12:43,12:45,12:49,12:52,12:54,12:56,12:59,13:02,13:04,13:06,13:09,→,13:12,13:14,13:15,13:17,13:20,13:21,13:23,13:24,13:28,13:29,13:31
19,1308M,電,三国港～福井,13:09,13:11,13:13,13:15,13:19,13:22,13:24,13:26,13:29,13:32,13:34,13:36,13:39,→,13:42,13:44,13:45,13:47,13:50,13:51,13:53,13:54,13:58,13:59,14:01
20,1338M,電,三国港～福井,13:39,13:41,13:43,13:45,13:49,13:52,13:54,13:56,13:59,14:02,14:04,14:06,14:09,→,14:12,14:14,14:15,14:17,14:20,14:21,14:23,14:24,14:28,14:29,14:31
21,1408M,電,三国港～福井,14:09,14:11,14:13,14:15,14:19,14:22,14:24,14:26,14:29,14:32,14:34,14:36,14:39,→,14:42,14:44,14:45,14:47,14:50,14:51,14:53,14:54,14:58,14:59,15:01
22,1438M,電,三国港～福井,14:39,14:41,14:43,14:45,14:49,14:52,14:54,14:56,14:59,15:02,15:04,15:06,15:09,→,15:12,15:14,15:15,15:17,15:20,15:21,15:23,15:24,15:28,15:29,15:31
